"Tahun","Minggu","Negeri","Daerah/Zon/PBT","Lokaliti","Jumlah Kes Terkumpul","Tempoh Wabak Berlaku (Hari)","latitude","longitude"
2015,5,"Selangor","Hulu Langat","Jalan 3/4 Seksyen 3 Bandar Baru Bangi",16,34,3.128331,101.618127
2015,5,"Selangor","Petaling","Seksyen 26 ( Kawasan Perindustrian B : Jln 26/1 - 26/6 )",10,34,3.074107,101.492219
2015,5,"Selangor","Petaling","Seksyen 17 Teres F (Jln 17/50 - 17/56)",10,34,3.074107,101.492219
2015,5,"Selangor","Petaling","Tm Pjs 3 Sri Manja Court ( Jln Pjs 3/44 )",14,34,3.074107,101.492219
2015,5,"Selangor","Petaling","Bandar Kinrara 5 (Jln Bk 5/9- Bk 5/18) & Ipd Serdang",11,34,3.155076,101.593722
2015,5,"Selangor","Petaling","Bandar Puteri 10",7,34,3.089795,101.647281
2015,5,"Selangor","Petaling","Usj 6/1 (Subang Perdana Goodyear Court 2)",8,34,3.113117,101.815673
2015,5,"Selangor","Petaling","Ss 14/7",15,34,3.060047,101.584687
2015,5,"Perak","Kinta","Anjung Tawas Damai",7,33,3.188612,101.604747
2015,5,"Selangor","Gombak","Appt Sri Baiduri",7,33,3.13281,101.748025
2015,5,"Selangor","Hulu Langat","Jalan Pandan 5 Pandan Jaya",6,33,3.114994,101.811318
2015,5,"Selangor","Hulu Langat","Jalan Suasana 2 Bandar Tun Hussein Onn",8,33,3.058404,101.636764
2015,5,"Selangor","Hulu Langat","Jalan 4/12 Seksyen 4 Bandar Baru Bangi",23,33,3.058405,101.636763
2015,5,"Selangor","Hulu Langat","Jalan 4/9 Seksyen 4 Bandar Baru Bangi",8,33,3.058406,101.636762
2015,5,"Selangor","Hulu Langat","Seksyen 1 Bandar Rinching",8,33,3.058407,101.636765
2015,5,"Selangor","Petaling","Seksyen 27 ( Flat A : Blok 1 - 10 )",5,33,3.058408,101.636767
2015,5,"Selangor","Petaling","Kd Pju 5 Seksyen 6 Gugusan Seroja",20,33,3.058409,101.636769
2015,5,"Selangor","Petaling","Tm Pjs 2C Apt Medan Jaya ( Blok I )",12,33,3.113117,101.815683
2015,5,"Selangor","Petaling","Bandar Bukit Puchong Bp 2",9,33,3.113118,101.815693
2015,5,"Selangor","Petaling","Taman Serdang Jaya 3",6,33,2.975147,101.783915
2015,5,"Selangor","Hulu Langat","Jalan Bm 6/C Bandar Bukit Mahkota",8,33,3.113117,101.815673
2015,5,"Selangor","Gombak","Appt Rawang Perdana",4,32,3.048069,101.639553
2015,5,"Selangor","Hulu Langat","Jalan Suakasih 2 Bandar Tun Hussin Onn",10,32,3.198303,101.599919
2015,5,"Selangor","Hulu Langat","Jalan 5A-C Seksyen 5 Bandar Baru Bangi",7,32,3.052035,101.643996
2015,5,"Selangor","Petaling","Dun Bg Seksyen 14 Teres C : Jalan 14/50 - 14/64",7,32,3.128331,101.618127
2015,5,"Selangor","Petaling","Dun Bg Seksyen 51A : Teres",11,32,3.074107,101.492219
2015,5,"Selangor","Petaling","Tm Pjs 3 Apt Sri Manja ( Blok D - F : Jln Pjs 3/55 )",11,32,3.074107,101.492219
2015,5,"Selangor","Petaling","Bandar Puteri 6",7,32,3.074107,101.492219
2015,5,"Sabah","Kota Kinabalu","Taman Fu Yen Ph.5 ",25,32,3.155076,101.593722
2015,5,"Selangor","Hulu Langat","Jalan Cahaya 3-5 Taman Cahaya",5,32,3.089795,101.647281
2015,5,"P. Pinang","Timur Laut","Mewah Court",6,31,3.113117,101.815673
2015,5,"Selangor","Gombak","Au1A Tmn Keramat",4,31,3.060047,101.584687
2015,5,"Selangor","Hulu Langat","Jalan Cp 3 Taman Cheras Perdana",9,31,3.188612,101.604747
2015,5,"Selangor","Hulu Langat","Jalan Mutiara Taman Sri Nanding",8,31,3.13281,101.748025
2015,5,"Selangor","Hulu Langat","Appt Vista Bandar Sri Putra",13,31,3.114994,101.811318
2015,5,"Selangor","Hulu Langat","Jalan Melor Kampung Sungai Kantan",8,31,3.058404,101.636764
2015,5,"Selangor","Petaling","Seksyen 24 ( Teres C : Jln 24/13 - 24/17B, Jln 24/37 - 24/38A )",6,31,3.058405,101.636763
2015,5,"Selangor","Petaling","Bl Pju 6A Pelangi Damansara Kondo ( Jln Masjid )",6,31,3.058406,101.636762
2015,5,"Selangor","Petaling","Du Pju 1 ( 1 ) : Kg Cempaka",5,31,3.058407,101.636765
2015,5,"Selangor","Petaling","Kd Pju 1A Apt Kelana Idaman",7,31,3.058408,101.636767
2015,5,"Selangor","Petaling","Usj 1/2",6,31,3.058409,101.636769
2015,5,"Sabah","Kota Kinabalu","Kg. Sembulan Baru",13,31,3.113117,101.815683
2015,6,"Selangor","Petaling","Du Ss 22 (2)",125,239,3.113118,101.815693
2015,6,"Selangor","Petaling","Seksyen 7 (Flat A : Blok 1-12, Blok 38-43)",101,193,2.975147,101.783915
2015,6,"Selangor","Petaling","Seksyen 7 (Pusat Komersial A : Jln Aa 7/Aa-Ac 7/Aa, T 7/T -Z 7/Z)",240,179,3.113117,101.815673
2015,6,"Selangor","Petaling","Seksyen 7 (Flat B : Blok 13-37)",40,166,3.048069,101.639553
2015,6,"Selangor","Hulu Langat","Jalan 3/A-R Seksyen 3 Bandar Sri Putra ",79,157,3.198303,101.599919
2015,6,"Selangor","Petaling","Usj 2/5",38,154,3.052035,101.643996
2015,6,"Selangor","Petaling","Kd Pju 5 Seksyen 5 Sepah Puteri (Jln 5/1-5/19)",33,144,3.058406,101.636762
2015,6,"Selangor","Petaling","Taman Puchong Perdana (Jln Mawar)",48,139,3.058407,101.636765
2015,6,"Selangor","Gombak","Kg Simpang 3",54,138,3.058408,101.636767
2015,6,"Selangor","Petaling","Batu 13 Kg Sri Aman (Lorong Bestari)",51,135,3.058409,101.636769
2015,6,"Selangor","Petaling","Pusat Bandar Puchong (Jln Wawasan 2)",51,133,3.113117,101.815683
2015,6,"Selangor","Petaling","Sri Pjs 8 Mentari Court",82,132,3.113118,101.815693
2015,6,"Selangor","Petaling","Seksyen U10 (Alam Budiman : Jln U10/68-U10/77b)",50,127,2.975147,101.783915
2015,6,"Selangor","Petaling","Bl Pju 9 Sd 10",27,123,3.113117,101.815673
2015,6,"Selangor","Petaling","Bandar Kinrara 4 (Jln Bk 4/1 Sebahagian 4/2-4/4)",36,123,3.048069,101.639553
2015,6,"Selangor","Petaling","Bandar Kinrara 2",29,121,3.198303,101.599919
2015,6,"Selangor","Petaling","Seksyen U5 (Pangsapuri Sri Bintang : Blok M1-M7)",21,117,3.052035,101.643996
2015,7,"Melaka","Alor Gajah","Tmn. Bukit Nangka",16,38,3.058406,101.636762
2015,7,"P. Pinang","Timur Laut","Taman Free School",13,84,3.058407,101.636765
2015,7,"P.Pinang","Seberang Perai Tengah","Lorong Kota Permai",32,54,3.058408,101.636767
2015,7,"P.Pinang","Timur Laut","Mewah Court",7,44,3.058409,101.636769
2015,7,"P.Pinang","Seberang Perai Tengah","Inderawasih Lengkok",20,40,3.113117,101.815683
2015,7,"P.Pinang","Seberang Perai Tengah","Sembilang, Masjid Sembilang",10,40,3.113118,101.815693
2015,7,"P.Pinang","Seberang Perai Tengah","Perkampungan Macang Bubuk",18,39,2.975147,101.783915
2015,7,"P.Pinang","Seberang Perai Tengah","Tenggiri, Solok Tenggiri",17,32,3.113117,101.815673
2015,7,"P.Pinang","Seberang Perai Selatan","Jalan Batas Ban",16,34,3.048069,101.639553
2015,7,"P.Pinang","Seberang Perai Tengah","Tuna, Flat Lorong Tuna",30,33,3.198303,101.599919
2015,7,"P.Pinang","Seberang Perai Tengah","Taman Budiman",11,33,3.052035,101.643996
2015,7,"P.Pinang","Barat Daya","Apartment Lavina",8,31,3.058406,101.636762
2015,7,"Pahang","Kuantan","Tmn Pasdec Jaya",8,39,3.058407,101.636765
2015,7,"Perak","Kinta","Kg Das Tambhan 2 ",59,107,3.058408,101.636767
2015,7,"Perak","Kinta","Tmn Klebang Jaya 2",56,101,3.058409,101.636769
2015,7,"Perak","Kinta","Kg Baru Buntong",36,93,3.113117,101.815683
2015,7,"Perak","Kinta","Kg Baru Gunung Rapat",22,91,3.113118,101.815693
2015,7,"Perak","Kinta","Kg Sg Tapah Tambahan",48,83,2.975147,101.783915
2015,7,"Perak","Kinta","Tmn Ipoh Jaya",36,81,3.113117,101.815673
2015,7,"Perak","Kinta","Tmn Cempaka",38,79,3.048069,101.639553
2015,7,"Perak","Kinta","Kg Sri Kinta ",25,78,3.198303,101.599919
2015,7,"Perak","Kinta","Tmn Desa Aman",39,77,3.052035,101.643996
2015,7,"Perak","Petaling","Kg Baru Kuala Kuang",53,74,3.058406,101.636762
2015,7,"Perak","Kinta","mewah Court",27,73,3.058407,101.636765
2015,7,"Perak","Kinta","Tmn Pinji Mewah",15,72,3.058408,101.636767
2015,7,"Perak","Kinta","Tmn Bersatu Kinta",15,71,3.058409,101.636769
2015,7,"Perak","Kinta","Tmn Ipoh",22,69,3.113117,101.815683
2015,7,"Perak","Kinta","Tmn Pusing Baru",12,68,3.113118,101.815693
2015,7,"Perak","Kinta","Tmn Sri Tanjung",32,67,2.975147,101.783915
2015,7,"Perak","Kinta","Pekan Razaki",22,66,3.113117,101.815673
2015,7,"Perak","Kinta","Tmn Cahaya Bercham",48,66,3.048069,101.639553
2015,7,"Perak","Kinta","Tmn Syukor",23,65,3.198303,101.599919
2015,7,"Perak","Kinta","Buntong 4",25,63,3.052035,101.643996
2015,7,"Perak","Kinta","Tmn Sri Ampang",11,63,3.128331,101.618127
2015,7,"Perak","Kinta","Kg Tawas",23,61,3.074107,101.492219
2015,7,"Perak","Kinta","Tmn Bertuah",16,57,3.074107,101.492219
2015,7,"Perak","Kinta","Bdr Baru Tambun",8,52,3.074107,101.492219
2015,7,"Perak","Kinta","Rapat Setia",27,51,3.155076,101.593722
2015,7,"Perak","Perak","Rumah Pangsa Sri Kepayang",27,50,3.089795,101.647281
2015,7,"Perak","Perak","Tmn Pertama",16,49,3.113117,101.815673
2015,7,"Perak","Kinta","Anjung Tawas Damai",13,47,3.060047,101.584687
2015,7,"Perak","Kinta","Kg Kuala Pari",6,44,3.188612,101.604747
2015,7,"Perak","Kinta","Tmn Lim",9,44,3.13281,101.748025
2015,7,"Perak","Kinta","Tmn Meru Jaya",20,42,3.114994,101.811318
2015,7,"Perak","Kinta","Villa Perpaduan",15,41,3.058404,101.636764
2015,7,"Perak","Kinta","Kg Dato Ahmad Said",12,40,3.058405,101.636763
2015,7,"Perak","Kinta","Tmn Sri Dermawan",11,38,3.058406,101.636762
2015,7,"Perak","Kinta","Tmn Utama",5,38,3.058407,101.636765
2015,7,"Perak","Kinta","Tmn Rapat Indah",7,37,3.058408,101.636767
2015,7,"Perak","Kinta","Kg Tersusun Bt 5",6,34,3.058409,101.636769
2015,7,"Perak","Kinta","Kg Baru Simpang Pulai",9,33,3.113117,101.815683
2015,7,"Perak","Kinta","Tmn Sri Bercham",7,33,3.113118,101.815693
